Tournament,Stage,Match Type,Match Name,Team,Action,Map,tournament
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,FUT Esports,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,KRÜ Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,KRÜ Esports,pick,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,pick,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,KRÜ Esports,ban,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Giants Gaming,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Giants Gaming,pick,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,pick,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Giants Gaming,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Bilibili Gaming,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,FNATIC,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Bilibili Gaming,pick,Haven,vct_2023
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,FNATIC,pick,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Bilibili Gaming,ban,Bind,vct_2023
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,FNATIC,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,LOUD,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Team Liquid,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,LOUD,pick,Haven,vct_2023
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Team Liquid,pick,Split,vct_2023
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,LOUD,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Team Liquid,ban,Bind,vct_2023
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,FunPlus Phoenix,ban,Fracture,vct_2023
