Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration,tournament
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,Pearl,KRÜ Esports,12,5,7,0.0,Giants Gaming,14,5,7,2.0,1:07:48,vct_2023
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,Bind,ZETA DIVISION,13,7,5,1.0,NRG Esports,15,7,5,3.0,,vct_2023
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,Haven,ZETA DIVISION,1,1,0,,NRG Esports,13,2,11,,34:49,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Pearl,Natus Vincere,13,8,5,,LOUD,11,7,4,,1:16:45,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Ascent,Natus Vincere,11,6,5,,LOUD,13,7,6,,58:56,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Bind,Natus Vincere,11,5,6,,LOUD,13,6,7,,59:34,vct_2023
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,Bind,FUT Esports,13,10,3,,T1,10,8,2,,51:48,vct_2023
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,Pearl,FUT Esports,14,7,5,2.0,T1,12,7,5,0.0,1:01:07,vct_2023
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,Split,EDward Gaming,13,9,4,,Giants Gaming,6,3,3,,59:38,vct_2023
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,Fracture,EDward Gaming,13,8,5,,Giants Gaming,7,3,4,,47:05,vct_2023
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Bind,Bilibili Gaming,13,5,8,,NRG Esports,10,3,7,,1:04:04,vct_2023
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Ascent,Bilibili Gaming,13,8,5,,NRG Esports,5,1,4,,40:36,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,Ascent,FNATIC,11,6,5,,LOUD,13,7,6,,1:09:19,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,Lotus,FNATIC,6,4,2,,LOUD,13,5,8,,44:40,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Ascent,Paper Rex,13,4,9,,FUT Esports,10,2,8,,54:58,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Pearl,Paper Rex,13,11,2,,FUT Esports,4,3,1,,38:42,vct_2023
