Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result,tournament
VCT 2025: China Stage 2,Group Stage,Week 4,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,EDward Gaming,2,0,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,All Gamers,TYLOO,0,2,TYLOO won,vct_2025
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,EDward Gaming vs Dragon Ranger Gaming,EDward Gaming,Dragon Ranger Gaming,0,2,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Lower Round 1,All Gamers vs FunPlus Phoenix,All Gamers,FunPlus Phoenix,2,1,All Gamers won,vct_2025
VCT 2025: China Stage 2,Playoffs,Lower Round 1,EDward Gaming vs Trace Esports,EDward Gaming,Trace Esports,2,1,EDward Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Bilibili Gaming vs TYLOO,Bilibili Gaming,TYLOO,2,1,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Xi Lai Gaming vs Dragon Ranger Gaming,Xi Lai Gaming,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Lower Round 2,TYLOO vs EDward Gaming,TYLOO,EDward Gaming,0,2,EDward Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Xi Lai Gaming vs All Gamers,Xi Lai Gaming,All Gamers,2,1,Xi Lai Gaming won,vct_2025
VCT 2025: China Stage 2,Showmatch,All-Star Match,Pure Aim vs Precise Defeat,Pure Aim,Precise Defeat,10,13,Precise Defeat won,vct_2025
VCT 2025: China Stage 2,Playoffs,Upper Final,Dragon Ranger Gaming vs Bilibili Gaming,Dragon Ranger Gaming,Bilibili Gaming,2,1,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Lower Round 3,EDward Gaming vs Xi Lai Gaming,EDward Gaming,Xi Lai Gaming,2,0,EDward Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Lower Final,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,EDward Gaming,3,1,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,Dragon Ranger Gaming,Bilibili Gaming,1,3,Bilibili Gaming won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Team Heretics,Paper Rex,0,2,Paper Rex won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Bilibili Gaming,Team Liquid,2,1,Bilibili Gaming won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Sentinels,Wolves Esports,2,0,Sentinels won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,Gen.G,MIBR,2,0,Gen.G won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Bilibili Gaming,Sentinels,1,2,Sentinels won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,Paper Rex,Gen.G,0,2,Gen.G won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,Team Heretics,Wolves Esports,0,2,Wolves Esports won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,Team Liquid,MIBR,2,0,Team Liquid won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,Bilibili Gaming,Wolves Esports,0,2,Wolves Esports won,vct_2025
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Paper Rex vs Team Liquid,Paper Rex,Team Liquid,2,1,Paper Rex won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,G2 Esports,Paper Rex,0,2,Paper Rex won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Xi Lai Gaming,Sentinels,0,2,Sentinels won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Rex Regum Qeon,Wolves Esports,0,2,Wolves Esports won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,FNATIC,Gen.G,1,2,Gen.G won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Xi Lai Gaming,G2 Esports,0,2,G2 Esports won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Rex Regum Qeon,FNATIC,1,2,FNATIC won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Wolves Esports,Gen.G,2,0,Wolves Esports won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Sentinels,Paper Rex,0,2,Paper Rex won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Gen.G vs G2 Esports,Gen.G,G2 Esports,1,2,G2 Esports won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Sentinels vs FNATIC,Sentinels,FNATIC,1,2,FNATIC won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Upper Final,Paper Rex vs Wolves Esports,Paper Rex,Wolves Esports,2,0,Paper Rex won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Lower Round 3,G2 Esports vs FNATIC,G2 Esports,FNATIC,0,2,FNATIC won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Wolves Esports,FNATIC,1,3,FNATIC won,vct_2025
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Paper Rex,FNATIC,3,1,Paper Rex won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Team Vitality,GIANTX,2,0,Team Vitality won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,BBL Esports,Karmine Corp,2,1,BBL Esports won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Apeks,Team Heretics,Apeks,2,1,Team Heretics won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,FUT Esports,KOI,2,0,FUT Esports won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Natus Vincere,FNATIC,Natus Vincere,2,0,FNATIC won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Team Liquid,Gentle Mates,1,2,Gentle Mates won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,Team Liquid,BBL Esports,2,1,Team Liquid won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,Apeks,Natus Vincere,1,2,Natus Vincere won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,FUT Esports,Gentle Mates,2,1,FUT Esports won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Team Heretics,GIANTX,2,1,Team Heretics won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,Team Vitality,FNATIC,1,2,FNATIC won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,KOI,Karmine Corp,0,2,Karmine Corp won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 3,KOI vs BBL Esports,KOI,BBL Esports,0,2,BBL Esports won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Natus Vincere vs GIANTX,Natus Vincere,GIANTX,2,1,Natus Vincere won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Liquid vs FUT Esports,Team Liquid,FUT Esports,2,0,Team Liquid won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Vitality vs Team Heretics,Team Vitality,Team Heretics,0,2,Team Heretics won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Apeks vs FNATIC,Apeks,FNATIC,0,2,FNATIC won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Gentle Mates,Karmine Corp,Gentle Mates,2,0,Karmine Corp won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Vitality vs Apeks,Team Vitality,Apeks,2,0,Team Vitality won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Liquid vs KOI,Team Liquid,KOI,2,0,Team Liquid won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs BBL Esports,Gentle Mates,BBL Esports,0,2,BBL Esports won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,GIANTX,FNATIC,1,2,FNATIC won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Karmine Corp,FUT Esports,1,2,FUT Esports won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Heretics,Natus Vincere,Team Heretics,0,2,Team Heretics won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,BBL Esports,FUT Esports,2,0,BBL Esports won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Apeks,GIANTX,Apeks,2,0,GIANTX won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Gentle Mates,KOI,1,2,KOI won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs Natus Vincere,Team Vitality,Natus Vincere,0,2,Natus Vincere won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Liquid vs Karmine Corp,Team Liquid,Karmine Corp,2,1,Team Liquid won,vct_2025
VCT 2025: EMEA Stage 1,Group Stage,Week 5,FNATIC vs Team Heretics,FNATIC,Team Heretics,0,2,Team Heretics won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,BBL Esports,Natus Vincere,2,0,BBL Esports won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,FNATIC vs FUT Esports,FNATIC,FUT Esports,2,0,FNATIC won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Natus Vincere,Karmine Corp,2,1,Natus Vincere won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,FUT Esports,Team Vitality,2,0,FUT Esports won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Team Heretics,BBL Esports,2,0,Team Heretics won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Team Liquid,FNATIC,1,2,FNATIC won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,BBL Esports vs FUT Esports,BBL Esports,FUT Esports,2,1,BBL Esports won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,2,1,Team Liquid won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,Team Heretics,FNATIC,0,2,FNATIC won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Team Liquid vs BBL Esports,Team Liquid,BBL Esports,2,1,Team Liquid won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Team Heretics,Team Liquid,3,0,Team Heretics won,vct_2025
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,FNATIC,Team Heretics,3,0,FNATIC won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DetonatioN FocusMe vs Global Esports,DetonatioN FocusMe,Global Esports,0,2,Global Esports won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,T1,ZETA DIVISION,2,1,T1 won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,DRX,Paper Rex,2,1,DRX won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,TALON,Team Secret,2,1,TALON won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Gen.G,BOOM Esports,0,2,BOOM Esports won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Rex Regum Qeon,Nongshim RedForce,Rex Regum Qeon,2,1,Nongshim RedForce won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Team Secret vs ZETA DIVISION,Team Secret,ZETA DIVISION,0,2,ZETA DIVISION won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 2,T1 vs Nongshim RedForce,T1,Nongshim RedForce,2,0,T1 won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Gen.G,Paper Rex,2,1,Gen.G won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 2,DRX vs DetonatioN FocusMe,DRX,DetonatioN FocusMe,2,0,DRX won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,TALON,Rex Regum Qeon,0,2,Rex Regum Qeon won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 2,BOOM Esports vs Global Esports,BOOM Esports,Global Esports,2,0,BOOM Esports won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Gen.G vs DetonatioN FocusMe,Gen.G,DetonatioN FocusMe,2,0,Gen.G won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Rex Regum Qeon,ZETA DIVISION,2,0,Rex Regum Qeon won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Paper Rex,BOOM Esports,1,2,BOOM Esports won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 3,TALON vs Nongshim RedForce,TALON,Nongshim RedForce,2,1,TALON won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,DRX,Global Esports,2,0,DRX won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,T1,Team Secret,2,1,T1 won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Nongshim RedForce,Team Secret,2,0,Nongshim RedForce won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,DRX,BOOM Esports,1,2,BOOM Esports won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,T1,Rex Regum Qeon,1,2,Rex Regum Qeon won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,Gen.G,Global Esports,2,0,Gen.G won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,TALON,ZETA DIVISION,0,2,ZETA DIVISION won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,DetonatioN FocusMe,Paper Rex,1,2,Paper Rex won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,Paper Rex,Global Esports,2,0,Paper Rex won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,T1,TALON,0,2,TALON won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,DRX,Gen.G,2,1,DRX won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs ZETA DIVISION,Nongshim RedForce,ZETA DIVISION,2,1,Nongshim RedForce won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,DetonatioN FocusMe,BOOM Esports,0,2,BOOM Esports won,vct_2025
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Rex Regum Qeon,Team Secret,1,2,Team Secret won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,TALON,Gen.G,1,2,Gen.G won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,DRX vs T1,DRX,T1,2,0,DRX won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,BOOM Esports vs Gen.G,BOOM Esports,Gen.G,0,2,Gen.G won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Rex Regum Qeon,DRX,2,1,Rex Regum Qeon won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,TALON,Nongshim RedForce,2,1,TALON won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,T1,Paper Rex,1,2,Paper Rex won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,DRX,TALON,2,0,DRX won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,BOOM Esports vs Paper Rex,BOOM Esports,Paper Rex,0,2,Paper Rex won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Gen.G vs Rex Regum Qeon,Gen.G,Rex Regum Qeon,2,0,Gen.G won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,DRX,Paper Rex,0,2,Paper Rex won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Rex Regum Qeon,Paper Rex,3,2,Rex Regum Qeon won,vct_2025
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Gen.G,Rex Regum Qeon,1,3,Rex Regum Qeon won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,Xi Lai Gaming,Bilibili Gaming,1,2,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,Trace Esports,All Gamers,2,1,Trace Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Dragon Ranger Gaming,Nova Esports,2,0,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 1,TYLOO vs EDward Gaming,TYLOO,EDward Gaming,0,2,EDward Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 1,JDG Esports vs Wolves Esports,JDG Esports,Wolves Esports,0,2,Wolves Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 1,FunPlus Phoenix vs Titan Esports Club,FunPlus Phoenix,Titan Esports Club,2,0,FunPlus Phoenix won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 2,Nova Esports vs EDward Gaming,Nova Esports,EDward Gaming,2,0,Nova Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 2,TYLOO vs FunPlus Phoenix,TYLOO,FunPlus Phoenix,1,2,FunPlus Phoenix won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs All Gamers,Xi Lai Gaming,All Gamers,2,0,Xi Lai Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 2,Wolves Esports vs Trace Esports,Wolves Esports,Trace Esports,2,0,Wolves Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Titan Esports Club,Dragon Ranger Gaming,2,1,Titan Esports Club won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 2,Bilibili Gaming vs JDG Esports,Bilibili Gaming,JDG Esports,2,1,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 3,JDG Esports vs Trace Esports,JDG Esports,Trace Esports,0,2,Trace Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 3,Wolves Esports vs Xi Lai Gaming,Wolves Esports,Xi Lai Gaming,0,2,Xi Lai Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 3,TYLOO vs Titan Esports Club,TYLOO,Titan Esports Club,1,2,Titan Esports Club won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,Dragon Ranger Gaming,EDward Gaming,1,2,EDward Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 3,Nova Esports vs FunPlus Phoenix,Nova Esports,FunPlus Phoenix,2,0,Nova Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,All Gamers,Bilibili Gaming,0,2,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 4,FunPlus Phoenix vs Dragon Ranger Gaming,FunPlus Phoenix,Dragon Ranger Gaming,0,2,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,Bilibili Gaming,Wolves Esports,2,1,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 4,All Gamers vs JDG Esports,All Gamers,JDG Esports,0,2,JDG Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,EDward Gaming,Titan Esports Club,2,1,EDward Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,Nova Esports,TYLOO,2,1,Nova Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 4,Trace Esports vs Xi Lai Gaming,Trace Esports,Xi Lai Gaming,1,2,Xi Lai Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 5,JDG Esports vs Xi Lai Gaming,JDG Esports,Xi Lai Gaming,1,2,Xi Lai Gaming won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Dragon Ranger Gaming,TYLOO,1,2,TYLOO won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 5,Wolves Esports vs All Gamers,Wolves Esports,All Gamers,2,1,Wolves Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 5,Bilibili Gaming vs Trace Esports,Bilibili Gaming,Trace Esports,1,2,Trace Esports won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 5,Titan Esports Club vs Nova Esports,Titan Esports Club,Nova Esports,2,0,Titan Esports Club won,vct_2025
VCT 2025: China Stage 1,Group Stage,Week 5,EDward Gaming vs FunPlus Phoenix,EDward Gaming,FunPlus Phoenix,2,0,EDward Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Titan Esports Club vs Wolves Esports,Titan Esports Club,Wolves Esports,0,2,Wolves Esports won,vct_2025
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,Xi Lai Gaming,Nova Esports,2,0,Xi Lai Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Titan Esports Club,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Nova Esports vs Trace Esports,Nova Esports,Trace Esports,0,2,Trace Esports won,vct_2025
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Bilibili Gaming vs Wolves Esports,Bilibili Gaming,Wolves Esports,0,2,Wolves Esports won,vct_2025
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,EDward Gaming vs Xi Lai Gaming,EDward Gaming,Xi Lai Gaming,0,2,Xi Lai Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Bilibili Gaming vs Trace Esports,Bilibili Gaming,Trace Esports,2,0,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,EDward Gaming,Dragon Ranger Gaming,2,1,EDward Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,Wolves Esports,Xi Lai Gaming,0,2,Xi Lai Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,EDward Gaming,Bilibili Gaming,1,2,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Wolves Esports,Bilibili Gaming,0,3,Bilibili Gaming won,vct_2025
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Xi Lai Gaming,Bilibili Gaming,3,1,Xi Lai Gaming won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Cloud9,Mega Minors,2,1,Cloud9 won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,KRÜ Esports,LOUD,2,1,KRÜ Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,G2 Esports,FURIA,2,0,G2 Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,MIBR,LEVIATÁN,2,0,MIBR won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,2Game Esports,Evil Geniuses,0,2,Evil Geniuses won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Sentinels,100 Thieves,2,1,Sentinels won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Mega Minors,FURIA,2,1,NRG won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 2,Sentinels vs KRÜ Esports,Sentinels,KRÜ Esports,0,2,KRÜ Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,100 Thieves,Evil Geniuses,2,0,100 Thieves won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,G2 Esports,MIBR,2,1,G2 Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 2,LOUD vs 2Game Esports,LOUD,2Game Esports,0,2,2Game Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,LEVIATÁN,Cloud9,0,2,Cloud9 won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Evil Geniuses,Sentinels,0,2,Sentinels won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,100 Thieves,LOUD,2,1,100 Thieves won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,2Game Esports,KRÜ Esports,1,2,KRÜ Esports won,vct_2025
