Tournament,Stage,Match Type,Match Name,Map,tournament
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bind,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Split,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Haven,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Split,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Bind,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Haven,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Bind,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Haven,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Split,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Bind,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Split,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Haven,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Ascent,vct_2023
