Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID,tournament
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,248273,Ascent,137628,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,248273,Pearl,137629,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,FNATIC vs FUT Esports,248278,Split,137644,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,FNATIC vs FUT Esports,248278,Haven,137645,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,Bilibili Gaming vs EDward Gaming,248279,Bind,137647,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,Bilibili Gaming vs EDward Gaming,248279,Split,137648,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,Bilibili Gaming vs EDward Gaming,248279,Haven,137649,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,LOUD vs Paper Rex,248274,Lotus,137630,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,LOUD vs Paper Rex,248274,Split,137631,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,LOUD vs Paper Rex,248274,Pearl,137632,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,DRX vs Evil Geniuses,248275,Fracture,137633,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,DRX vs Evil Geniuses,248275,Lotus,137634,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,LOUD vs EDward Gaming,248281,Bind,137653,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,LOUD vs EDward Gaming,248281,Ascent,137654,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,LOUD vs EDward Gaming,248281,Haven,137655,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,DRX vs FNATIC,248280,Bind,137650,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,DRX vs FNATIC,248280,Haven,137651,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,DRX vs FNATIC,248280,Split,137652,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Final,Paper Rex vs Evil Geniuses,248276,Ascent,137636,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Final,Paper Rex vs Evil Geniuses,248276,Bind,137637,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Upper Final,Paper Rex vs Evil Geniuses,248276,Pearl,137638,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 3,FNATIC vs LOUD,248282,Split,137656,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 3,FNATIC vs LOUD,248282,Ascent,137657,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 3,FNATIC vs LOUD,248282,Haven,137658,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Ascent,137659,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Lotus,137660,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Pearl,137661,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Split,137662,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,Evil Geniuses vs LOUD,248283,Bind,137663,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,Paper Rex vs Evil Geniuses,248277,Split,137639,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,Paper Rex vs Evil Geniuses,248277,Ascent,137640,vct_2023
