Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,DRX vs Trace Esports,378831,Lotus,180440
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,DRX vs Trace Esports,378831,Abyss,180441
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,G2 Esports vs FNATIC,378832,Haven,180443
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,G2 Esports vs FNATIC,378832,Bind,180444
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,Sentinels vs EDward Gaming,378826,Haven,180426
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,Sentinels vs EDward Gaming,378826,Lotus,180427
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,Sentinels vs EDward Gaming,378826,Sunset,180428
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,LEVIATÁN vs Team Heretics,378827,Icebox,180429
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,LEVIATÁN vs Team Heretics,378827,Lotus,180430
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Sentinels vs FNATIC,378834,Sunset,180449
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Sentinels vs FNATIC,378834,Bind,180450
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Sentinels vs FNATIC,378834,Lotus,180451
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Team Heretics vs DRX,378833,Abyss,180446
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Team Heretics vs DRX,378833,Sunset,180447
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Team Heretics vs DRX,378833,Icebox,180448
Valorant Champions 2024,2097,Playoffs,4131,Upper Final,EDward Gaming vs LEVIATÁN,378828,Icebox,180432
Valorant Champions 2024,2097,Playoffs,4131,Upper Final,EDward Gaming vs LEVIATÁN,378828,Lotus,180433
Valorant Champions 2024,2097,Playoffs,4131,Upper Final,EDward Gaming vs LEVIATÁN,378828,Abyss,182971
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 3,Team Heretics vs Sentinels,378835,Haven,180452
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 3,Team Heretics vs Sentinels,378835,Icebox,180453
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 3,Team Heretics vs Sentinels,378835,Abyss,180454
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,LEVIATÁN vs Team Heretics,378836,Icebox,180455
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,LEVIATÁN vs Team Heretics,378836,Sunset,180456
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,LEVIATÁN vs Team Heretics,378836,Abyss,180457
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,LEVIATÁN vs Team Heretics,378836,Lotus,180458
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Haven,180435
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Sunset,180436
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Lotus,180437
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Bind,180438
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Abyss,180439
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,MIBR vs LEVIATÁN,353177,Ascent,173415
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,MIBR vs LEVIATÁN,353177,Icebox,173416
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,Sentinels vs NRG Esports,353178,Lotus,173418
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,Sentinels vs NRG Esports,353178,Sunset,173419
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,FURIA vs 100 Thieves,353179,Icebox,173421
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,FURIA vs 100 Thieves,353179,Haven,173422
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,LOUD vs Evil Geniuses,353180,Lotus,173424
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,LOUD vs Evil Geniuses,353180,Sunset,173425
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,LOUD vs Evil Geniuses,353180,Icebox,173426
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,G2 Esports vs Cloud9,353181,Ascent,173427
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,G2 Esports vs Cloud9,353181,Icebox,173428
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,G2 Esports vs Cloud9,353181,Lotus,173429
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Evil Geniuses vs FURIA,353182,Bind,173430
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Evil Geniuses vs FURIA,353182,Lotus,173431
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Sentinels vs KRÜ Esports,353183,Lotus,173433
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Sentinels vs KRÜ Esports,353183,Split,173434
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,LOUD vs MIBR,353184,Ascent,173436
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,LOUD vs MIBR,353184,Lotus,173437
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,LOUD vs MIBR,353184,Sunset,173438
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,LEVIATÁN vs 100 Thieves,353185,Bind,173439
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,LEVIATÁN vs 100 Thieves,353185,Haven,173440
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,NRG Esports vs G2 Esports,353186,Haven,173442
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,NRG Esports vs G2 Esports,353186,Bind,173443
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Sentinels vs Cloud9,353187,Haven,173445
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Sentinels vs Cloud9,353187,Split,173446
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Evil Geniuses vs LEVIATÁN,353188,Icebox,173448
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Evil Geniuses vs LEVIATÁN,353188,Sunset,173449
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,LOUD vs FURIA,353189,Haven,173451
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,LOUD vs FURIA,353189,Icebox,173452
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,LOUD vs FURIA,353189,Bind,173453
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,MIBR vs 100 Thieves,353190,Icebox,173454
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,MIBR vs 100 Thieves,353190,Split,173455
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,NRG Esports vs KRÜ Esports,353191,Split,173457
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,NRG Esports vs KRÜ Esports,353191,Ascent,173458
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,NRG Esports vs KRÜ Esports,353191,Sunset,173459
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,G2 Esports vs KRÜ Esports,353192,Lotus,173460
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,G2 Esports vs KRÜ Esports,353192,Ascent,173461
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,G2 Esports vs KRÜ Esports,353192,Split,173462
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,LOUD vs LEVIATÁN,353193,Lotus,173463
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,LOUD vs LEVIATÁN,353193,Icebox,173464
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,MIBR vs FURIA,353194,Sunset,173466
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,MIBR vs FURIA,353194,Icebox,173467
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,NRG Esports vs Cloud9,353195,Ascent,173469
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,NRG Esports vs Cloud9,353195,Icebox,173470
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,NRG Esports vs Cloud9,353195,Sunset,173471
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,Evil Geniuses vs 100 Thieves,353196,Lotus,173472
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,Evil Geniuses vs 100 Thieves,353196,Bind,173473
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 3,Evil Geniuses vs 100 Thieves,353196,Ascent,173474
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,Cloud9 vs KRÜ Esports,353197,Icebox,173475
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,Cloud9 vs KRÜ Esports,353197,Split,173476
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,Evil Geniuses vs MIBR,353198,Bind,173478
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,Evil Geniuses vs MIBR,353198,Lotus,173479
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,LEVIATÁN vs FURIA,353199,Sunset,173481
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,LEVIATÁN vs FURIA,353199,Icebox,173482
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,LOUD vs 100 Thieves,353200,Ascent,173484
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,LOUD vs 100 Thieves,353200,Bind,173485
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,LOUD vs 100 Thieves,353200,Lotus,173486
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,Sentinels vs G2 Esports,353201,Bind,173487
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 4,Sentinels vs G2 Esports,353201,Lotus,173488
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Knockout Round,KRÜ Esports vs Cloud9,371266,Abyss,178819
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Knockout Round,KRÜ Esports vs Cloud9,371266,Lotus,178820
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Knockout Round,KRÜ Esports vs Cloud9,371266,Haven,178821
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Knockout Round,Sentinels vs 100 Thieves,371267,Haven,178822
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Knockout Round,Sentinels vs 100 Thieves,371267,Ascent,178823
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Upper Semifinals,LEVIATÁN vs KRÜ Esports,371268,Icebox,178825
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Upper Semifinals,LEVIATÁN vs KRÜ Esports,371268,Sunset,178826
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Upper Semifinals,G2 Esports vs 100 Thieves,371269,Lotus,178828
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Upper Semifinals,G2 Esports vs 100 Thieves,371269,Abyss,178829
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Upper Final,LEVIATÁN vs G2 Esports,371270,Icebox,178831
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Upper Final,LEVIATÁN vs G2 Esports,371270,Bind,178832
