Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,skye,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,fade,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,gekko,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,neon,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,brimstone,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,astra,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Bind,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,omen,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,raze,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,viper,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,cypher,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,sova,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,jett,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,breach,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,killjoy,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,kayo,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,fade,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,gekko,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,neon,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,astra,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,harbor,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,raze,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,viper,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,cypher,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,sova,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,jett,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,breach,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,killjoy,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,kayo,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,fade,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,gekko,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,neon,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,astra,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Lotus,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,raze,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,viper,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,cypher,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,sova,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,jett,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,breach,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,killjoy,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,kayo,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,fade,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,gekko,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,neon,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,astra,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Haven,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,omen,76%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,jett,53%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,sova,45%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,cypher,37%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,breach,37%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,kayo,34%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,raze,34%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,killjoy,32%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,viper,32%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,gekko,26%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,fade,18%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,neon,16%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,skye,13%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,astra,11%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,brimstone,11%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,chamber,11%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,yoru,8%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,phoenix,3%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,deadlock,3%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,sage,3%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,All Maps,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,jett,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,sova,63%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,cypher,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,breach,38%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,kayo,13%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,raze,63%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,killjoy,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,viper,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,gekko,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,fade,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,neon,13%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,astra,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,chamber,13%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,yoru,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,phoenix,13%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,sage,13%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,jett,88%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,sova,38%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,cypher,88%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,breach,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,kayo,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,raze,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,killjoy,13%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,viper,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,gekko,38%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,fade,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,neon,13%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,astra,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,jett,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,sova,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,cypher,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,breach,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,kayo,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,raze,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,killjoy,67%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,viper,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,gekko,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,fade,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,neon,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,astra,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,omen,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,jett,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,sova,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,cypher,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,breach,33%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,kayo,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,raze,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,killjoy,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,viper,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,gekko,33%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,fade,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,neon,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,skye,83%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,astra,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,brimstone,67%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,chamber,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,yoru,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,deadlock,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Bind,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,jett,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,sova,33%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,cypher,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,breach,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,kayo,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,raze,33%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,killjoy,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,viper,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,gekko,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,fade,67%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,neon,67%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,astra,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,chamber,33%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Lotus,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,omen,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,jett,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,sova,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,cypher,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,breach,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,kayo,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,raze,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,killjoy,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,viper,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,gekko,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,fade,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,neon,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,astra,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Icebox,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,omen,69%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,jett,69%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,killjoy,47%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,sova,44%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,viper,42%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,kayo,39%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,breach,39%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,cypher,36%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,gekko,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,raze,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,fade,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,neon,11%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,skye,8%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,astra,8%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,chamber,8%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,deadlock,6%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,brimstone,6%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,harbor,3%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,clove,3%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,yoru,3%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,All Maps,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,jett,92%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,killjoy,33%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,sova,67%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,viper,8%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,kayo,8%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,breach,75%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,cypher,67%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,gekko,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,raze,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,fade,17%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,neon,8%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,skye,8%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,astra,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,omen,10%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,jett,90%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,killjoy,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,sova,20%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,viper,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,kayo,90%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,breach,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,cypher,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,gekko,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,raze,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,fade,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,neon,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,astra,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,deadlock,20%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,harbor,10%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,clove,10%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,jett,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,killjoy,50%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,sova,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,viper,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,kayo,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,breach,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,cypher,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,gekko,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,raze,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,fade,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,neon,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,skye,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,astra,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,chamber,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,deadlock,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,brimstone,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,harbor,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,clove,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,yoru,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,iso,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,phoenix,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,reyna,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Ascent,sage,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Lotus,omen,100%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Lotus,jett,0%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Lotus,killjoy,25%
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Lotus,sova,0%
