Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Ascent,6,54%,46%
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Lotus,6,49%,51%
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Sunset,3,59%,41%
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Haven,2,56%,44%
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Bind,1,21%,79%
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Icebox,1,55%,45%
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Split,1,25%,75%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,All Maps,88,52%,48%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Ascent,18,50%,50%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Sunset,17,51%,49%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Icebox,14,64%,36%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Lotus,14,49%,51%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Haven,9,54%,46%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Split,7,44%,56%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Bind,5,42%,58%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Abyss,3,44%,56%
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Breeze,1,71%,29%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,All Maps,10,51%,49%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,3,59%,41%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,2,37%,63%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,2,61%,39%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Breeze,1,63%,38%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,1,20%,80%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Sunset,1,47%,53%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,All Maps,5,32%,68%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,2,28%,72%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,2,28%,72%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Lotus,1,53%,47%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,All Maps,2,57%,43%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Ascent,1,61%,39%
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Final,Lotus,1,52%,48%
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,All Maps,5,43%,57%
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Ascent,1,59%,41%
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Breeze,1,26%,74%
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Icebox,1,32%,68%
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Lotus,1,41%,59%
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,1,56%,44%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,All Maps,5,53%,47%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Ascent,1,44%,56%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,1,46%,54%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Lotus,1,67%,33%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,1,61%,39%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,1,47%,53%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 2,All Maps,5,52%,48%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 2,Sunset,2,53%,48%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 2,Bind,1,65%,35%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 2,Breeze,1,50%,50%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 2,Icebox,1,42%,58%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 3,All Maps,2,50%,50%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 3,Sunset,1,21%,79%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 3,Bind,1,67%,33%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Final,All Maps,3,60%,40%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Final,Icebox,1,47%,53%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Final,Bind,1,67%,33%
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Final,Lotus,1,67%,33%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,All Maps,11,55%,45%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Icebox,4,61%,39%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Lotus,3,50%,50%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Breeze,2,54%,46%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 1,Sunset,2,53%,47%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,All Maps,10,49%,51%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,Ascent,2,40%,60%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,Bind,2,62%,38%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,Lotus,2,63%,37%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,Sunset,2,30%,70%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,Breeze,1,32%,68%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 2,Split,1,67%,33%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 3,All Maps,6,63%,37%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 3,Sunset,2,74%,26%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 3,Lotus,2,53%,47%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 3,Icebox,1,83%,17%
Champions Tour 2024: Masters Shanghai,Swiss Stage,Round 3,Bind,1,46%,54%
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,All Maps,64,51%,49%
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Lotus,14,53%,47%
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Icebox,11,48%,52%
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Sunset,11,48%,52%
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,10,59%,41%
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Ascent,7,42%,58%
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Breeze,6,47%,53%
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Split,5,62%,38%
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,All Maps,5,46%,54%
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Sunset,2,22%,78%
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Lotus,2,70%,30%
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Bind,1,65%,35%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,All Maps,6,47%,53%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Ascent,2,33%,67%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Bind,1,53%,47%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Breeze,1,55%,45%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Lotus,1,47%,53%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Sunset,1,62%,38%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Final,All Maps,2,53%,47%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Final,Sunset,1,28%,72%
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Final,Lotus,1,81%,19%
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Round 1,All Maps,3,56%,44%
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Round 1,Ascent,1,57%,43%
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Round 1,Bind,1,38%,62%
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Round 1,Sunset,1,71%,29%
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Final,All Maps,3,41%,59%
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Final,Icebox,1,38%,63%
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Final,Bind,1,50%,50%
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Final,Lotus,1,33%,67%
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,All Maps,5,50%,50%
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Icebox,1,54%,46%
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Bind,1,59%,41%
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Lotus,1,59%,41%
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Split,1,29%,71%
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Sunset,1,50%,50%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,All Maps,20,46%,54%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Lotus,6,39%,61%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Ascent,4,47%,53%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Icebox,3,50%,50%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Sunset,3,51%,49%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Bind,2,48%,52%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Breeze,1,70%,30%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Split,1,32%,68%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,All Maps,21,52%,48%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Lotus,7,57%,43%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Icebox,4,46%,54%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Ascent,2,59%,41%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Bind,2,32%,68%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Breeze,2,59%,41%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Split,2,46%,54%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Sunset,2,52%,48%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,All Maps,19,50%,50%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Lotus,4,51%,49%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Icebox,3,44%,56%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Ascent,3,54%,46%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Split,3,64%,36%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Sunset,3,43%,57%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Bind,2,54%,46%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Breeze,1,23%,77%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,All Maps,16,51%,49%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Ascent,3,47%,53%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Bind,3,54%,46%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Breeze,3,54%,46%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Lotus,3,61%,39%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Split,2,52%,48%
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Sunset,2,32%,68%
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,All Maps,100,49%,51%
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Lotus,26,53%,47%
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Sunset,16,44%,56%
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Ascent,15,48%,52%
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Bind,14,50%,50%
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Icebox,12,47%,53%
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Split,9,50%,50%
Champions Tour 2024: Pacific Stage 1,All Stages,All Match Types,Breeze,8,53%,47%
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,All Maps,4,53%,47%
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,Ascent,1,45%,55%
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,Bind,1,62%,38%
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,Breeze,1,65%,35%
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,Sunset,1,41%,59%
Champions Tour 2024: China Stage 1,Playoffs,Upper Semifinals,All Maps,4,54%,46%
Champions Tour 2024: China Stage 1,Playoffs,Upper Semifinals,Ascent,1,56%,44%
Champions Tour 2024: China Stage 1,Playoffs,Upper Semifinals,Bind,1,74%,26%
Champions Tour 2024: China Stage 1,Playoffs,Upper Semifinals,Lotus,1,52%,48%
Champions Tour 2024: China Stage 1,Playoffs,Upper Semifinals,Split,1,32%,68%
Champions Tour 2024: China Stage 1,Playoffs,Upper Final,All Maps,2,62%,38%
Champions Tour 2024: China Stage 1,Playoffs,Upper Final,Icebox,1,48%,52%
Champions Tour 2024: China Stage 1,Playoffs,Upper Final,Breeze,1,75%,25%
Champions Tour 2024: China Stage 1,Playoffs,Lower Round 1,All Maps,3,52%,48%
Champions Tour 2024: China Stage 1,Playoffs,Lower Round 1,Bind,1,55%,45%
Champions Tour 2024: China Stage 1,Playoffs,Lower Round 1,Split,1,48%,52%
Champions Tour 2024: China Stage 1,Playoffs,Lower Round 1,Sunset,1,53%,47%
Champions Tour 2024: China Stage 1,Playoffs,Lower Final,All Maps,4,44%,56%
Champions Tour 2024: China Stage 1,Playoffs,Lower Final,Ascent,1,33%,67%
Champions Tour 2024: China Stage 1,Playoffs,Lower Final,Bind,1,42%,58%
Champions Tour 2024: China Stage 1,Playoffs,Lower Final,Breeze,1,61%,39%
Champions Tour 2024: China Stage 1,Playoffs,Lower Final,Split,1,31%,69%
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,All Maps,4,56%,44%
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Bind,1,68%,32%
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Breeze,1,48%,52%
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Icebox,1,67%,33%
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,Lotus,1,37%,63%
Champions Tour 2024: China Stage 1,Regular Season,Week 1,All Maps,16,49%,51%
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,4,48%,53%
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,3,51%,49%
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,3,55%,45%
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,2,47%,53%
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,2,48%,52%
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,1,38%,62%
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,1,46%,54%
Champions Tour 2024: China Stage 1,Regular Season,Week 2,All Maps,16,55%,45%
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,4,48%,52%
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,3,49%,51%
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,3,75%,25%
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,3,67%,33%
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Split,2,41%,59%
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,1,29%,71%
Champions Tour 2024: China Stage 1,Regular Season,Week 3,All Maps,13,49%,51%
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Ascent,4,45%,55%
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Lotus,3,44%,56%
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Bind,2,48%,52%
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Icebox,2,63%,37%
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Breeze,1,35%,65%
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Sunset,1,72%,28%
Champions Tour 2024: China Stage 1,Regular Season,Week 4,All Maps,16,54%,46%
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Sunset,3,55%,45%
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bind,3,50%,50%
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Ascent,2,50%,50%
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Breeze,2,62%,38%
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Icebox,2,55%,45%
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Lotus,2,66%,34%
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Split,2,40%,60%
Champions Tour 2024: China Stage 1,Regular Season,Week 5,All Maps,12,57%,43%
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Lotus,3,61%,39%
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Icebox,2,64%,36%
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Breeze,2,56%,44%
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Sunset,2,65%,35%
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Ascent,1,21%,79%
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Bind,1,39%,61%
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Split,1,63%,37%
Champions Tour 2024: China Stage 1,All Stages,All Match Types,All Maps,94,53%,47%
Champions Tour 2024: China Stage 1,All Stages,All Match Types,Bind,17,53%,47%
Champions Tour 2024: China Stage 1,All Stages,All Match Types,Ascent,14,45%,55%
Champions Tour 2024: China Stage 1,All Stages,All Match Types,Breeze,14,54%,46%
Champions Tour 2024: China Stage 1,All Stages,All Match Types,Lotus,14,52%,48%
Champions Tour 2024: China Stage 1,All Stages,All Match Types,Icebox,13,61%,39%
Champions Tour 2024: China Stage 1,All Stages,All Match Types,Sunset,12,58%,42%
Champions Tour 2024: China Stage 1,All Stages,All Match Types,Split,10,43%,57%
Champions Tour 2024: EMEA Stage 1,Playoffs,Knockout Round,All Maps,5,41%,59%
Champions Tour 2024: EMEA Stage 1,Playoffs,Knockout Round,Lotus,2,43%,57%
Champions Tour 2024: EMEA Stage 1,Playoffs,Knockout Round,Icebox,1,42%,58%
Champions Tour 2024: EMEA Stage 1,Playoffs,Knockout Round,Ascent,1,21%,79%
Champions Tour 2024: EMEA Stage 1,Playoffs,Knockout Round,Split,1,59%,41%
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Semifinals,All Maps,4,63%,37%
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Semifinals,Bind,1,77%,23%
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Semifinals,Breeze,1,79%,21%
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Semifinals,Lotus,1,57%,43%
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Semifinals,Split,1,42%,58%
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Final,All Maps,2,51%,49%
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Final,Breeze,1,53%,47%
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Final,Lotus,1,50%,50%
Champions Tour 2024: EMEA Stage 1,Playoffs,Grand Final,All Maps,5,50%,50%
Champions Tour 2024: EMEA Stage 1,Playoffs,Grand Final,Bind,1,50%,50%
Champions Tour 2024: EMEA Stage 1,Playoffs,Grand Final,Breeze,1,43%,57%
Champions Tour 2024: EMEA Stage 1,Playoffs,Grand Final,Lotus,1,71%,29%
Champions Tour 2024: EMEA Stage 1,Playoffs,Grand Final,Split,1,39%,61%
Champions Tour 2024: EMEA Stage 1,Playoffs,Grand Final,Sunset,1,45%,55%
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,2,51%,49%
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Round 1,Sunset,1,39%,61%
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,1,69%,31%
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Final,All Maps,4,56%,44%
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Final,Bind,1,68%,32%
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Final,Breeze,1,54%,46%
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Final,Icebox,1,71%,29%
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Final,Split,1,33%,67%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,All Maps,12,55%,45%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Icebox,2,50%,50%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Ascent,2,55%,45%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Lotus,2,59%,41%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Split,2,75%,25%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Sunset,2,43%,57%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Bind,1,50%,50%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Breeze,1,41%,59%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,All Maps,16,51%,49%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Breeze,4,47%,53%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Icebox,3,44%,56%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Split,3,65%,35%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Bind,2,48%,52%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Lotus,2,52%,48%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Ascent,1,61%,39%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Sunset,1,46%,54%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,All Maps,15,51%,49%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Sunset,3,48%,52%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Icebox,3,58%,42%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Ascent,2,41%,59%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Bind,2,68%,32%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Lotus,2,56%,44%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Split,2,41%,59%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Breeze,1,37%,63%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,All Maps,15,50%,50%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Sunset,5,46%,54%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Icebox,2,58%,42%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Bind,2,43%,57%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Lotus,2,54%,46%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Split,2,48%,52%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Ascent,1,48%,52%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Breeze,1,65%,35%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,All Maps,15,54%,46%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Icebox,4,55%,45%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Bind,4,52%,48%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Breeze,2,46%,54%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Lotus,2,60%,40%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Ascent,1,67%,33%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Split,1,61%,39%
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Sunset,1,46%,54%
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,All Maps,95,52%,48%
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Icebox,17,54%,46%
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Lotus,15,55%,45%
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Bind,14,55%,45%
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Split,14,54%,46%
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Sunset,14,45%,55%
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Breeze,13,51%,49%
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Ascent,8,48%,52%
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,All Maps,4,46%,54%
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,Ascent,1,58%,42%
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,Bind,1,47%,53%
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,Icebox,1,29%,71%
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,Lotus,1,42%,58%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,5,52%,48%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,Icebox,2,54%,46%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,1,38%,62%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,Bind,1,44%,56%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,Sunset,1,67%,33%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Final,All Maps,3,49%,51%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Final,Ascent,1,61%,39%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Final,Bind,1,62%,38%
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Final,Split,1,29%,71%
Champions Tour 2024: Americas Stage 1,Playoffs,Grand Final,All Maps,3,43%,57%
Champions Tour 2024: Americas Stage 1,Playoffs,Grand Final,Bind,1,23%,77%
Champions Tour 2024: Americas Stage 1,Playoffs,Grand Final,Breeze,1,65%,35%
Champions Tour 2024: Americas Stage 1,Playoffs,Grand Final,Sunset,1,43%,57%
Champions Tour 2024: Americas Stage 1,Playoffs,Lower Round 1,All Maps,3,50%,50%
Champions Tour 2024: Americas Stage 1,Playoffs,Lower Round 1,Icebox,1,38%,63%
Champions Tour 2024: Americas Stage 1,Playoffs,Lower Round 1,Lotus,1,42%,58%
Champions Tour 2024: Americas Stage 1,Playoffs,Lower Round 1,Sunset,1,71%,29%
Champions Tour 2024: Americas Stage 1,Playoffs,Lower Final,All Maps,5,47%,53%
Champions Tour 2024: Americas Stage 1,Playoffs,Lower Final,Ascent,1,38%,63%
