map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament
All Maps,WOL,2,8 (3),3 (0),8 (5),27 (18),498626,toronto
All Maps,GEN,2,5 (3),4 (0),9 (4),28 (13),498626,toronto
Split,SEN,0,3 (0),1 (1),5 (1),7 (1),498625,toronto
Split,PRX,2,2 (2),0 (0),7 (6),7 (5),498625,toronto
Sunset,SEN,1,3 (1),1 (0),7 (5),13 (5),498625,toronto
Sunset,PRX,1,3 (1),1 (0),2 (1),18 (11),498625,toronto
Ascent,SEN,1,6 (1),2 (1),12 (6),20 (6),498625,toronto
Ascent,PRX,3,5 (3),1 (0),9 (7),25 (16),498625,toronto
Lotus,GEN,1,3 (1),2 (0),5 (2),10 (4),498631,toronto
Lotus,G2,1,3 (1),0 (0),4 (2),13 (10),498631,toronto
Haven,GEN,2,2 (2),0 (0),9 (4),13 (7),498631,toronto
Haven,G2,0,3 (0),1 (0),7 (4),13 (7),498631,toronto
All Maps,GEN,2,2 (2),1 (0),7 (3),14 (6),498631,toronto
All Maps,G2,0,3 (0),3 (0),3 (2),15 (11),498631,toronto
Sunset,SEN,2,2 (2),0 (0),7 (6),13 (5),498632,toronto
Sunset,FNC,0,4 (0),0 (0),9 (6),9 (3),498632,toronto
Ascent,SEN,0,4 (0),1 (1),2 (1),13 (5),498632,toronto
Ascent,FNC,2,2 (2),0 (0),6 (4),12 (7),498632,toronto
icebox,SEN,1,3 (1),1 (0),8 (4),10 (4),498632,toronto
icebox,FNC,1,4 (2),1 (1),2 (2),15 (8),498632,toronto
sunset,SEN,3,9 (3),2 (1),17 (11),36 (14),498632,toronto
sunset,FNC,3,10 (4),1 (1),17 (12),36 (18),498632,toronto
Lotus,PRX,1,3 (1),1 (0),4 (2),18 (11),498627,toronto
Lotus,WOL,1,3 (1),2 (0),3 (2),18 (9),498627,toronto
Ascent,PRX,1,3 (1),2 (1),4 (3),12 (8),498627,toronto
Ascent,WOL,1,3 (1),2 (0),3 (1),13 (6),498627,toronto
lotus,PRX,2,6 (2),3 (1),8 (5),30 (19),498627,toronto
lotus,WOL,2,6 (2),4 (0),6 (3),31 (15),498627,toronto
Lotus,G2,0,4 (0),1 (0),3 (0),15 (10),498633,toronto
Lotus,FNC,2,2 (2),3 (0),7 (5),11 (6),498633,toronto
Split,G2,2,2 (2),3 (2),7 (3),11 (3),498633,toronto
Split,FNC,0,4 (1),2 (2),1 (1),16 (9),498633,toronto
lotus,G2,2,6 (2),4 (2),10 (3),26 (13),498633,toronto
lotus,FNC,2,6 (3),5 (2),8 (6),27 (15),498633,toronto
Split,WOL,1,3 (1),3 (1),3 (2),13 (5),498634,toronto
Split,FNC,1,3 (1),1 (0),3 (2),15 (10),498634,toronto
Icebox,WOL,1,4 (1),1 (0),5 (1),7 (2),498634,toronto
Icebox,FNC,1,3 (2),0 (0),2 (1),12 (10),498634,toronto
Lotus,WOL,0,4 (0),0 (0),2 (0),17 (13),498634,toronto
Lotus,FNC,2,3 (2),2 (0),8 (4),10 (4),498634,toronto
Ascent,WOL,1,4 (1),4 (1),3 (1),7 (2),498634,toronto
Ascent,FNC,1,3 (1),0 (0),4 (4),11 (8),498634,toronto
and,WOL,3,15 (3),8 (2),13 (4),44 (22),498634,toronto
and,FNC,5,12 (6),3 (0),17 (11),48 (32),498634,toronto
Sunset,PRX,0,4 (0),0 (0),3 (0),17 (13),498628,toronto
Sunset,FNC,2,2 (2),0 (0),9 (4),13 (5),498628,toronto
Icebox,PRX,1,3 (1),2 (0),5 (2),22 (12),498628,toronto
Icebox,FNC,1,3 (1),1 (0),3 (1),25 (15),498628,toronto
Pearl,PRX,0,4 (0),0 (0),1 (0),18 (13),498628,toronto
Pearl,FNC,2,2 (2),1 (0),8 (3),12 (5),498628,toronto
Lotus,PRX,1,3 (1),1 (0),7 (4),15 (9),498628,toronto
Lotus,FNC,1,2 (1),2 (1),5 (2),17 (8),498628,toronto
Ascent,PRX,2,14 (2),3 (0),16 (6),72 (47),498628,toronto
Ascent,FNC,6,9 (6),4 (1),25 (10),67 (33),498628,toronto
