player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths,tournament
CHICHOO,CHICHOO,EDG,15559,"['Viper', 'Vyse', 'Cypher', 'Omen']",4,313,1.23,235.6,1.27,71%,158.1,0.87,0.28,0.08,0.07,28%,22%,11/51,36,271,213,87,24,22,bangkok
nAts,nAts,TL,457,"['Viper', 'Chamber', 'Cypher']",3,155,1.21,257.6,1.32,72%,155.1,0.91,0.19,0.09,0.12,26%,13%,3/23,25,141,107,29,14,18,bangkok
trent,trent,G2,15500,"['Tejo', 'Sova']",2,360,1.21,220.0,1.21,75%,146.9,0.76,0.32,0.09,0.09,25%,29%,14/48,26,274,226,116,31,31,bangkok
Derke,Derke,VIT,5022,"['Raze', 'Jett', 'Yoru']",3,225,1.18,257.2,1.2,70%,166.8,0.91,0.17,0.2,0.2,22%,31%,5/16,32,204,170,38,46,45,bangkok
iZu,iZu,T1,29833,"['Tejo', 'Fade', 'Cypher', 'Yoru']",4,453,1.13,207.1,1.24,75%,130.6,0.75,0.21,0.11,0.09,30%,31%,19/61,21,341,276,96,48,40,bangkok
free1ng,free1ng,DRX,1916,['Tejo'],1,149,1.1,227.3,1.16,77%,146.9,0.79,0.26,0.12,0.11,29%,7%,1/15,24,117,101,38,18,16,bangkok
Keiko,Keiko,TL,11494,"['Raze', 'Astra', 'Omen', 'Brimstone']",4,155,1.09,198.9,1.09,77%,137.7,0.75,0.34,0.1,0.08,30%,10%,2/20,31,117,107,52,15,12,bangkok
trexx,trexx,VIT,2168,"['Vyse', 'Brimstone', 'Sova', 'Fade']",4,225,1.09,207.3,1.02,72%,134.3,0.68,0.44,0.05,0.05,19%,9%,3/32,28,153,150,98,12,11,bangkok
BeYN,BeYN,DRX,4678,"['Breach', 'Sova', 'Fade']",3,149,1.08,182.4,1.03,78%,117.3,0.64,0.44,0.06,0.07,25%,21%,4/19,17,95,92,65,9,10,bangkok
BuZz,BuZz,T1,804,"['Raze', 'Yoru', 'Neon', 'Jett']",4,453,1.08,239.5,1.12,72%,150.4,0.82,0.24,0.17,0.14,17%,20%,6/30,26,370,331,107,78,62,bangkok
valyn,valyn,G2,3885,"['Omen', 'Astra', 'Brimstone']",3,360,1.08,186.8,1.06,76%,122.1,0.68,0.44,0.08,0.08,23%,14%,5/37,26,244,231,158,29,27,bangkok
leaf,leaf,G2,7873,"['Viper', 'Chamber', 'Vyse']",3,360,1.06,207.3,1.09,74%,137.5,0.74,0.25,0.11,0.1,24%,12%,5/41,28,267,244,91,38,36,bangkok
N4RRATE,N4RRATE,SEN,36245,"['Fade', 'Breach', 'Omen', 'Skye']",4,103,1.05,202.4,0.97,76%,148.4,0.73,0.39,0.13,0.04,27%,13%,2/15,33,75,77,40,13,4,bangkok
Meteor,Meteor,T1,13039,"['Vyse', 'Iso', 'Killjoy', 'Viper', 'Reyna']",5,453,1.04,229.0,1.09,71%,152.8,0.81,0.23,0.17,0.11,33%,16%,7/45,30,366,337,103,75,50,bangkok
Less,Less,VIT,8447,"['Brimstone', 'Viper', 'Astra', 'Cypher']",4,225,1.03,197.1,1.03,68%,128.8,0.72,0.31,0.06,0.12,29%,20%,6/30,23,163,159,69,14,26,bangkok
jawgemo,jawgemo,G2,3993,"['Yoru', 'Raze']",2,360,1.03,218.5,1.06,71%,142.9,0.77,0.29,0.13,0.18,23%,38%,9/24,29,277,262,104,47,64,bangkok
Sylvan,Sylvan,T1,4056,"['Omen', 'Brimstone', 'Astra']",3,408,1.02,186.1,0.97,77%,114.6,0.64,0.64,0.08,0.04,27%,17%,7/42,25,260,267,262,31,18,bangkok
ZmjjKK,ZmjjKK,EDG,3520,"['Jett', 'Yoru', 'Raze', 'Neon']",4,313,1.01,236.2,1.04,70%,151.0,0.83,0.19,0.21,0.22,23%,4%,1/27,33,260,249,59,66,70,bangkok
stax,stax,T1,485,"['Breach', 'Kayo', 'Sova', 'Fade', 'Tejo']",5,453,1.01,173.6,1.01,74%,120.3,0.63,0.34,0.04,0.04,31%,17%,10/59,22,284,282,154,20,20,bangkok
Smoggy,Smoggy,EDG,4742,"['Omen', 'Astra', 'Brimstone', 'Clove']",4,313,1.01,191.1,0.93,74%,124.6,0.65,0.49,0.1,0.06,30%,20%,9/45,24,203,219,152,30,20,bangkok
Flashback,Flashback,DRX,35013,"['Cypher', 'Vyse']",2,149,1.0,180.4,1.0,71%,126.4,0.68,0.17,0.09,0.07,26%,8%,2/25,26,101,101,26,13,11,bangkok
